383021140185	0	0
383021140187	0	0
383021140189	0	0
383021140191	0	0
383021140193	0	0
383021140195	0	8656
383021140197	24729	16795
383021140199	25022	16802
383021140201	25033	16806
383021140203	25039	16809
383021140205	25043	16812
383021140207	25044	16812
383021140209	25046	16814
383021140211	25047	16814
383021140213	25047	16815
383021140215	25047	16815
383021140217	25047	16816
383021140219	25047	16816
383021140221	25047	16817
383021140223	25047	16817
383021140225	25047	16817
383021140227	25046	16818
383021140229	25046	16819
383021140231	25043	16819
383021140233	25043	16819
383021140235	25042	16819
383021140237	25041	16819
383021140239	25040	16819
383021140241	25040	16819
383021140243	25040	16819
383021140245	25040	16819
383021140247	25040	16819
383021140249	25039	16819
383021140251	25039	16819
383021140253	25038	16819
383021140255	25038	16818
383021140257	25037	16818
383021140259	25037	16818
383021140261	25036	16818
383021140263	25036	16817
383021140265	25035	16817
383021140267	25035	16817
383021140269	25035	16817
383021140271	25034	16817
383021140273	25034	16816
383021140275	25034	16816
383021140277	25034	16816
383021140279	25034	16816
383021140281	25033	16815
383021140283	25033	16815
383021140285	25033	16814
383021140287	25033	16813
383021140289	25032	16813
383021140291	25032	16813
383021140293	25031	16812
383021140295	25031	16812
383021140297	25031	16812
383021140299	25030	16812
383021140301	25030	16812
383021140303	25030	16812
383021140305	25029	16811
383021140307	25029	16811
383021140309	25029	16811
383021140311	25029	16811
383021140313	25028	16811
383021140315	25028	16810
383021140317	25028	16810
383021140319	25028	16810
383021140321	25027	16810
383021140323	25027	16809
383021140325	25027	16809
383021140327	25027	16809
383021140329	25026	16809
383021140331	25026	16809
383021140333	25026	16809
383021140335	25026	16809
383021140337	25026	16809
383021140339	25026	16808
383021140341	25026	16808
383021140343	25026	16808
383021140345	25026	16808
383021140347	25025	16808
383021140349	25025	16808
383021140351	25025	16808
383021140353	25025	16808
383021140355	25025	16808
383021140357	25025	16808
383021140359	25025	16807
383021140361	25025	16807
383021140363	25025	16807
383021140365	25025	16807
383021140367	25025	16807
383021140369	25025	16807
383021140371	25025	16807
383021140373	25025	16807
383021140375	25024	16807
383021140377	25024	16807
383021140379	25025	16807
383021140381	25025	16807
383021140383	25025	16807
383021140385	25026	16806
383021140387	25026	16806
383021140389	25026	16806
383021140391	25027	16806
383021140393	25027	16806
383021140395	25027	16806
383021140397	25027	16806
383021140399	25028	16806
383021140401	25028	16806
383021140403	25028	16806
383021140405	25028	16806
383021140407	25029	16806
383021140409	25029	16806
383021140411	25030	16806
383021140413	25030	16807
383021140415	25031	16807
383021140417	25031	16807
383021140419	25032	16807
383021140421	25032	16807
383021140423	25032	16807
383021140425	25032	16807
383021140427	25033	16807
383021140429	25033	16807
383021140431	25033	16807
383021140433	25034	16807
383021140435	25034	16807
383021140437	25035	16807
383021140439	25035	16807
383021140441	25036	16807
383021140443	25037	16807
383021140445	25038	16807
383021140447	25038	16806
383021140449	25038	16806
383021140451	25039	16806
383021140453	25039	16806
383021140455	25040	16806
383021140457	25040	16806
383021140459	25040	16806
383021140461	25041	16806
383021140463	25042	16806
383021140465	25042	16806
383021140467	25042	16806
383021140469	25042	16806
383021140471	25043	16806
383021140473	25043	16806
383021140475	25043	16806
383021140477	25043	16806
383021140479	25043	16806
383021140481	25044	16806
383021140483	25044	16806
383021140485	25045	16806
383021140487	25045	16807
383021140489	25045	16807
383021140491	25045	16807
383021140493	25043	16806
383021140495	25041	16806
383021140497	25041	16805
383021140499	25041	16805
383021140501	25041	16805
383021140503	25041	16804
383021140505	25041	16804
383021140507	25041	16804
383021140509	25041	16804
383021140511	25042	16803
383021140513	25042	16803
383021140515	25043	16803
383021140517	25044	16803
383021140519	25045	16803
383021140521	25046	16804
383021140523	25047	16804
383021140525	25047	16804
383021140527	25047	16804
383021140529	25047	16804
383021140531	25047	16803
383021140533	25047	16803
383021140535	25047	16803
383021140537	25048	16803
383021140539	25047	16802
383021140541	25047	16802
383021140543	25047	16802
383021140545	25047	16802
383021140547	25047	16802
383021140549	25047	16802
383021140551	25046	16802
383021140553	25046	16803
383021140555	25045	16803
383021140557	25044	16803
383021140559	25042	16803
383021140561	25042	16803
383021140563	25041	16804
383021140565	25041	16804
383021140567	25041	16804
383021140569	25041	16804
383021140571	25041	16804
383021140573	25042	16804
383021140575	25042	16805
383021140577	25043	16805
383021140579	25043	16805
383021140581	25044	16806
383021140583	25044	16806
383021140585	25044	16806
383021140587	25045	16806
383021140589	25045	16806
383021140591	25046	16807
383021140593	25046	16807
383021140595	25047	16807
383021140597	25048	16807
383021140599	25048	16807
383021140601	25049	16808
383021140603	25050	16808
383021140605	25050	16808
383021140607	25050	16808
383021140609	25050	16808
383021140611	25050	16808
383021140613	25051	16808
383021140615	25051	16809
383021140617	25051	16809
383021140619	25051	16809
383021140621	25051	16809
383021140623	25052	16809
383021140625	25052	16809
383021140627	25052	16809
383021140629	25052	16809
383021140631	25052	16809
383021140633	25052	16810
383021140635	25052	16810
383021140637	25053	16810
383021140639	25053	16810
383021140641	25053	16810
383021140643	25053	16810
383021140645	25053	16810
383021140647	25053	16810
383021140649	25052	16810
383021140651	25052	16810
383021140653	25052	16810
383021140655	25052	16810
383021140657	25052	16811
383021140659	25050	16810
383021140661	25051	16811
383021140663	25051	16811
383021140665	25051	16811
383021140667	25051	16811
383021140669	25051	16811
383021140671	25051	16811
383021140673	25051	16811
383021140675	25051	16811
383021140677	25051	16811
383021140679	25052	16811
383021140681	25052	16811
383021140683	25052	16811
383021140685	25052	16811
383021140687	25052	16811
383021140689	25052	16811
383021140691	25052	16811
383021140693	25052	16811
383021140695	25053	16811
383021140697	25053	16811
383021140699	25054	16810
383021140701	25054	16810
383021140703	25055	16810
383021140705	25055	16810
383021140707	25055	16810
383021140709	25056	16810
383021140711	25056	16810
